,hotel,url,index,score,latitude,longitude,description,city,latitude_city,longitude_city,temp,rain
0,GAMBETTA résidences hôtel Paris centre,https://www.booking.com/hotel/fr/gambetta-rue-des-rondonneaux-75020-paris-centre.fr.html,7.0,7.0,48.86406717,2.39856271,"Situé à Paris, à moins de 3,8 km de l'opéra Bastille et à 4,1 km du centre Pompidou, le GAMBETTA résidences hôtel Paris centre propose des chambres climatisées avec salle de bains privative. Pour votre confort, l'appartement possède une entrée privée. Il propose une salle de sport, une connexion Wi-Fi gratuite dans l'ensemble de ses locaux et des chambres familiales.

Tous les logements comprennent une télévision par satellite, du matériel de repassage, une armoire, un coin salon avec un canapé ainsi qu'une cuisine entièrement équipée avec un lave-vaisselle et un four. Un micro-ondes, un grille-pain, un réfrigérateur, une machine à café et une bouilloire sont également fournis. Tous les logements sont hypoallergéniques.

Vous trouverez un café et une supérette sur place.

Vous séjournerez à 4,4 km de la gare de l'Est et à 4,6 km de Paris-Gare-de-Lyon. L'aéroport le plus proche, celui de Paris-Charles-de-Gaulle, est situé à 19 km.",Paris,48.8588897,2.3200410217200766,14.8,10.3
1,Sonder Quintinie,https://www.booking.com/hotel/fr/residence-quintinie-square.fr.html,4.0,8.3,48.83908932,2.30657101,"Doté d'une connexion Wi-Fi gratuite et d'une terrasse, l’hôtel Sonder Quintinie vous propose un hébergement indépendant à Paris. Le parc des expositions Paris Expo - Porte de Versailles se trouve à 1,5 km de l'établissement, tandis que l'Institut Pasteur est accessible à 5 minutes de marche.

Revêtus de parquet, tous les studios décorés avec goût comprennent de grandes fenêtres et une literie confortable. Leur kitchenette est équipée d'un micro-ondes et d'un réfrigérateur. Des plaques de cuisson, une machine à café et une bouilloire sont également à disposition. Le linge de lit est fourni.

L'hôtel Sonder Quintinie se trouve à 2,3 km de la tour Eiffel et à 2,7 km du musée d'Orsay. L’aéroport de Paris-Orly, le plus proche, est installé à 13 km. Enfin, l’hôtel possède aussi un parking gratuit pour les vélos dans la cour, sous réserve de disponibilité.",Paris,48.8588897,2.3200410217200766,14.8,10.3
2,Best Western Bretagne Montparnasse,https://www.booking.com/hotel/fr/bwdebretagne.fr.html,6.0,8.3,48.83548674,2.32108712,"Cet hôtel Best Western est situé à 10 minutes de la gare et de la tour Montparnasse. Il propose des chambres climatisées avec une connexion Wi-Fi gratuite et la télévision par satellite.

Toutes les chambres affichent une décoration classique et comprennent également un mini-réfrigérateur, un plateau/bouilloire ainsi qu'une salle de bains privative avec un sèche-cheveux.

Vous pourrez savourer un petit-déjeuner buffet tous les matins dans la salle de petit-déjeuner de l'hôtel Bretagne Montparnasse.

La réception ouverte 24h/24 propose un service de location de vélos et met un ordinateur à votre disposition.

La station de métro Pernety, qui permet d'accéder directement aux Champs-Élysées, est à 300 mètres. L'aéroport d'Orly se trouve à seulement 13 minutes de route.",Paris,48.8588897,2.3200410217200766,14.8,10.3
3,Hôtel Sunny,https://www.booking.com/hotel/fr/sunny.fr.html,1.0,7.6,48.83754217,2.34678805,"Cet hôtel familial est situé dans le 5ème arrondissement de Paris, à seulement 450 mètres de la station de métro Les Gobelins. Il propose des chambres insonorisées avec télévision par satellite à écran plat et salle de bains privative.

Un petit-déjeuner continental est servi tous les matins à l'hôtel et peut être savouré dans les chambres. Vous trouverez également des distributeurs automatiques vendant des collations et des boissons, disponibles tous les jours, 24h/24.

L'Hôtel Sunny dispose d'une réception ouverte 24h/24 et d'une connexion Wi-Fi accessible gratuitement dans l'ensemble de l'établissement. Il se trouve à seulement 15 minutes à pied du Jardin du Luxembourg et à 2 km du Quartier latin.",Paris,48.8588897,2.3200410217200766,14.8,10.3
4,Hôtel Clauzel Paris,https://www.booking.com/hotel/fr/clauzel.fr.html,0.0,7.5,48.87873949,2.33970523,"Installé dans le 9ème arrondissement du centre de Paris, cet hôtel se trouve à 12 minutes à pied des Galeries Lafayette. Il dispose de chambres avec télévision à écran plat et d'une réception ouverte 24h/24.

Chaque chambre est dotée d'un téléphone et de meubles en bois. Chacune comprend une salle de bains privative avec sèche-cheveux. L'hôtel Clauzel possède un ascenseur.

Un petit-déjeuner continental est servi chaque matin dans la salle de petit-déjeuner de l'hôtel Clauzel. Après le petit-déjeuner, vous pourrez utiliser l'ordinateur doté d'une connexion Internet, disponible à la réception.

La station de métro Notre-Dame-de-Lorette est située à 400 mètres, vous permettant de rejoindre la basilique du Sacré-Cœur. La gare Saint-Lazare est accessible en 15 minutes de marche.",Paris,48.8588897,2.3200410217200766,14.8,10.3
5,Le Petit Cosy Hôtel,https://www.booking.com/hotel/fr/cosy.fr.html,2.0,8.4,48.84466734,2.4024345,"Situé à seulement 5 minutes à pied de la station de RER Nation, Le petit Cosy Hôtel propose un restaurant de style brasserie et une connexion Wi-Fi gratuite dans l'ensemble des locaux. Il se trouve juste à côté de la station de métro Picpus et à 20 minutes de marche du bois de Vincennes.

Les chambres du Petit Cosy Hôtel sont aménagées dans un style moderne. Elles bénéficient toutes d'une salle de bains privative ou d'une vue sur la cour intérieure.

Le restaurant Cosy sert un petit-déjeuner continental et une cuisine régionale. Vous pourrez également vous détendre dans le bar-salon ou sur la terrasse tout en profitant d'un cocktail ou d'une coupe de champagne.

La réception ouverte 24h/24 assure un service de bagagerie et son personnel pourra vous conseiller sur les sites d'intérêt de la capitale. Les transports, à proximité de l'hôtel, vous conduiront directement à la tour Montparnasse, à l'avenue des Champs-Élysées et à Disneyland Paris.",Paris,48.8588897,2.3200410217200766,14.8,10.3
6,Hôtel Pavillon Bastille,https://www.booking.com/hotel/fr/pavillonbastille.fr.html,5.0,8.2,48.85083358,2.37004012,"Situé en face de l’opéra Bastille, à seulement 5 minutes de marche de la station de métro et gare de Lyon, l’Hôtel Pavillon Bastille occupe une maison de ville rénovée qui date du XIXe siècle. Une connexion Wi-Fi gratuite et une télévision par câble sont fournies dans toutes les chambres.

Décorés dans des tons neutres, les hébergements élégants sont climatisés. Chaque chambre du Pavillon Bastille comprend un plateau de courtoisie avec du thé, du café et des tisanes. Les salles de bains privatives sont pourvues d'un sèche-cheveux.

Chaque jour, vous pourrez prendre un petit-déjeuner continental et buffet dans la cour paysagée du Pavillon ou dans la salle prévue à cet effet selon la météo. Le personnel disponible 24h/24 pourra vous fournir des renseignements sur les divers restaurants et lieux à visiter de la région. Vous pourrez utiliser une salle de réunion sur réservation préalable.

La place des Vosges, avec ses galeries d’art indépendantes, et les boutiques de mode du quartier du Marais se trouvent à 15 minutes à pied. La station de métro Bastille, accessible à 150 mètres de l’hôtel, vous permettra de rejoindre directement de nombreux sites touristiques parisiens, notamment le Musée du Louvre et les Galeries Lafayette.",Paris,48.8588897,2.3200410217200766,14.8,10.3
7,ibis Paris Bastille Faubourg St Antoine,https://www.booking.com/hotel/fr/bastille-faubourg-st-antoine.fr.html,3.0,8.2,48.85173016,2.37873316,"L'ibis Paris Bastille Faubourg St Antoine vous accueille dans le 11ème arrondissement de Paris, à 900 mètres de la place de la Bastille. Il dispose d'une terrasse, d'un jardin et d'une connexion Wi-Fi gratuite.

Chaque chambre climatisée est décorée dans un style contemporain. Elles comprennent une télévision par satellite à écran plat et une salle de bains privative. Il est permis de fumer dans certaines chambres situées au même étage.

Un petit-déjeuner buffet, composé de plats sucrés et salés, comme des œufs, de la salade de fruits, des yaourts et des jus, est servi chaque matin. Des viennoiseries cuites sur place, des madeleines fraîches ainsi qu'une boisson chaude et un fruit à emporter sont aussi proposés. Un petit-déjeuner plus léger est servi à partir de 4h00.

L'établissement possède par ailleurs une réception ouverte 24h/24. Chaque chambre est desservie par un ascenseur.

Un parking privé couvert est disponible. L'hôtel se trouve à 290 mètres de la station de métro Ledru-Rollin (sortie nº 2), permettant d'accéder à tous les sites d'intérêt prisés de Paris, notamment le musée du Louvre, l'avenue des Champs-Elysées, le quartier des affaires de la Défense et le quartier du Marais. Vous rejoindrez l'AccorHotels Arena et la Seine en moins de 20 minutes à pied. La gare de Lyon et celle de Paris-Bercy se trouve à respectivement 1 et 2 km.",Paris,48.8588897,2.3200410217200766,14.8,10.3
8,Hotel Ariane Montparnasse by Patrick Hayat,https://www.booking.com/hotel/fr/ariane-montparnasse.fr.html,12.0,8.0,48.83209732,2.32182875,"Situé à Paris, dans le quartier Montparnasse, à 5 minutes à pied de la station de métro Pernety, l'Hotel Ariane Montparnasse by Patrick Hayat propose des chambres dotées d’une salle de bains privative et d’une connexion Wi-Fi gratuite. L’établissement est installé à 1 km de la gare Montparnasse.

Affichant une décoration colorée, les chambres de l'Hotel Ariane Montparnasse comportent une télévision par satellite à écran plat, un téléphone et un ventilateur. Les salles de bains privatives modernes sont pourvues d'articles de toilette gratuits et d'un sèche-cheveux.

L’hôtel sert un petit-déjeuner buffet est servi chaque matin dans la salle prévue à cet effet. Cette dernière présente des photos des attractions touristiques de Paris. Le petit-déjeuner peut également être servi en chambre sur demande.

La réception de l'Ariane Montparnasse est ouverte 24h/24. Vous pourrez profiter de canapés dans l'hôtel.

L'hôtel est implanté à 15 minutes en métro des Champs-Elysées. Le parc Georges Brassens se trouve à 20 minutes à pied.",Paris,48.8588897,2.3200410217200766,14.8,10.3
9,Appart'City Classic Paris La Villette,https://www.booking.com/hotel/fr/appart-city-cap-affaires-paris.fr.html,9.0,7.4,48.88716261,2.38640249,"L'Appart'City Classic Paris La Villette est situé à 5 minutes à pied de la Cité des sciences de La Villette et à 10 minutes de marche du Zénith.

Tous les appartements bien équipés disposent d'un salon, d'un bureau et d'une télévision par satellite. Ils comprennent une salle de bains, ainsi qu'une cuisine entièrement équipée munie d'un réfrigérateur, de plaques de cuisson et d'un micro-ondes.

Le petit-déjeuner se compose d'une variété de pains incluant du pain sans gluten, de viennoiseries, de salades de fruits, de fruits frais, de fromages, de yaourts, ainsi que de boissons chaudes et froides.

L'Appart'City Classic Paris La Villette est installé en face la station de métro Ourcq, permettant de se rendre directement aux gares du Nord, de l'Est et d'Austerlitz. Vous pourrez ainsi rejoindre facilement les principaux lieux d'intérêt de Paris, tels que le Louvre, Montmartre et la tour Eiffel. La salle de réception Les Docks de Paris est quant à elle accessible à 3,3 km.

Enfin, lors de votre séjour à l'Appart'City Classic Paris La Villette, vous disposerez d'un parking privé sur place moyennant des frais supplémentaires.",Paris,48.8588897,2.3200410217200766,14.8,10.3
